YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2022,2022-03,22MBAEX301079618,1,1,Settled,32:15.0,EX3,EX312,235.0,61596.0,KES,61596.0,48,48194000,PAPER SACKS; 1; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,21,21,0,0,0,0,0,0,0,0,21,0
2022,2022-03,22MBAIM401122322,1,3,Settled,41:33.0,IM4,IM400,5000.0,1684474.27,USD,1885227.41,72,72172000,GALVANIZED WIRE-HIGH ZINC COATED; 5000; 1;,CN,China,KE,Kenya,MBA,FFK,628515,65985,310996,248797,0,0,43540,24880,0,0,302,0
2022,2022-04,22EMKIM400589940,1,2,Settled,31:14.0,IM4,IM400,9690.0,4038472.06,USD,4390857.82,48,48041100,KRAFT LINER 140K/107; 1;,ZA,South Africa,KE,Kenya,EMK,ICD,696235,878177,362622,290097,0,0,21758,21758,0,0,0,0
2022,2022-04,22NMAIM400146584,1,2,Removed,13:23.0,IM4,IM404,18400.0,4475612.71,USD,4476381.27,72,72131000,Y BAR BS 10MM; 18400; 1;,TZ,Tanzania,KE,Kenya,NMA,NMA,309248,716223,483200,309248,0,0,0,0,0,0,0,0
2022,2022-05,22BUSIMP00195554,1,2,Settled,18:23.0,IMP,IM910,500.0,31400.0,KES,31400.0,48,48191000,USED WASTE CARTONS; USED CARTONS; 0; 1; ,UG,Uganda,KE,Kenya,BUS,BSA,1024,5024,1600,1024,0,0,224,128,0,0,0,0
2022,2022-05,22MBAIM701862366,1,1,Settled,39:36.0,IM7,IM751,10016.0,5136090.74,USD,6013008.47,48,48191000,N/A; CORRUGATED TRAYS AND HOODS LIDL KNIGHTBRIDGE TRAYS; 1463; 73150; 1; ,LK,Sri Lanka,KE,Kenya,MBA,CNT,3399,3399,996946,797557,0,0,0,0,0,0,3982,0
2022,2022-05,22NMAIM400244032,1,1,Settled,53:11.0,IM4,IM400,27898.0,3653053.33,USD,3653053.33,48,48042100,SACK KRAFT PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,584489,0,913264,584489,0,0,127857,73062,0,0,0,0
2022,2022-05,22MBAEX301852637,1,1,Settled,10:33.0,EX3,EX312,236.0,63365.0,KES,63365.0,48,48194000,PAPER SACKS; 1; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,21,21,0,0,0,0,0,0,0,0,51,0
2022,2022-05,22EMKIM700748361,1,1,Settled,50:04.0,IM7,IM700,23075.0,12042612.6,EUR,13236856.81,48,48043900,AXELLO KRAFT WHITE BLEACHED KRAFT PAPER SUBS 85GSM; 1;,FI,Finland,KE,Kenya,EMK,ICD,18798,18798,332075,584451,0,0,0,0,0,0,20146,0
2022,2022-05,22THKIM400033285,1,1,Settled,07:04.0,IM4,IM410,21719.0,12396879.0,KES,12396879.0,48,48043900,AXELLO SWAN WHITE BLEACHED KRAFT PAPER SUBS 85GSM; ,FI,Finland,KE,Kenya,THK,TKA,886418,0,289679,509835,0,0,43452,43452,0,0,0,0
